,Facility Name,Region,Activity Number,Year,Material,January (tons),February (tons),March (tons),April (tons),May (tons),June (tons),July (tons),August (tons),September (tons),October (tons),November (tons),December (tons),Total Year (tons),Tip fees,Facility Type
18,Cardo Site Development Storage Yard,1.0,[52C10272],2020.0,Masonry,22.0,0.0,0.0,18.0,36.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,94.0,NR,Transfer Facility
19,Cardo Site Development Storage Yard,1.0,[52C10272],2020.0,Asphalt and Road Material,78.0,175.0,45.0,0.0,29.0,195.0,156.0,0.0,48.0,117.0,0.0,16.0,859.0,NR,Transfer Facility
20,Cardo Site Development Storage Yard,1.0,[52C10272],2020.0,Soil,0.0,90.0,34.0,0.0,135.0,157.0,168.0,358.0,302.0,130.0,874.0,190.0,2438.0,NR,Transfer Facility
21,Cardo Site Development Storage Yard,1.0,[52C10272],2020.0,Sand,81.0,243.0,594.0,0.0,74.0,27.0,742.0,216.0,472.0,3685.0,27.0,729.0,6890.0,NR,Transfer Facility
22,Cardo Site Development Storage Yard,1.0,[52C10272],2020.0,Fill,936.0,156.0,65.0,546.0,130.0,486.0,507.0,3900.0,565.0,156.0,104.0,52.0,7603.0,NR,Transfer Facility
23,Cardo Site Development Storage Yard,1.0,[52C10272],2020.0,Yard Waste,195.0,0.0,294.0,14.0,119.0,805.0,28.0,301.0,195.0,239.0,252.0,119.0,2561.0,NR,Transfer Facility
24,Cardo Site Development Storage Yard,1.0,[52C10272],2019.0,Concrete,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,2400.0,NR,Transfer Facility
25,Cardo Site Development Storage Yard,1.0,[52C10272],2019.0,Masonry,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,540.0,NR,Transfer Facility
26,Cardo Site Development Storage Yard,1.0,[52C10272],2019.0,Masonry,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,60.0,NR,Transfer Facility
27,Cardo Site Development Storage Yard,1.0,[52C10272],2019.0,Asphalt and Road Material,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,720.0,NR,Transfer Facility
28,Cardo Site Development Storage Yard,1.0,[52C10272],2019.0,Soil,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1200.0,NR,Transfer Facility
29,Cardo Site Development Storage Yard,1.0,[52C10272],2019.0,Sand,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1200.0,NR,Transfer Facility
30,Cardo Site Development Storage Yard,1.0,[52C10272],2019.0,Fill,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,12000.0,NR,Transfer Facility
31,Cardo Site Development Storage Yard,1.0,[52C10272],2019.0,Yard Waste,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,600.0,NR,Transfer Facility
32,CB Recycling,1.0,[52W86R],2019.0,Soil,0.0,0.0,288.0,0.0,375.0,0.0,338.0,0.0,38.0,0.0,3055.0,0.0,4094.0,NR,Transfer Facility
33,Chesterfield Associates,1.0,[52W14R],2019.0,Concrete,23.22,79.12,100.19,27.95,20.64,86.0,17.2,117.39,76.54,66.65,45.15,43.0,703.05,NR,Transfer Facility
34,Chesterfield Associates,1.0,[52W14R],2019.0,Soil,64.4,147.2,129.72,11.5,140.76,211.14,402.04,468.74,1659.22,4119.3,351.9,86.0,7791.92,NR,Transfer Facility
35,Chesterfield Associates,1.0,[52W14R],2019.0,Sand,824.6,0.0,39.9,0.0,0.0,0.0,0.0,0.0,0.0,641.06,0.0,345.8,1851.36,NR,Transfer Facility
36,Corazzini Asphalt; Inc.,1.0,[52C10280],2019.0,Asphalt and Road Material,0.0,0.0,0.0,50.0,100.0,150.0,150.0,200.0,300.0,200.0,200.0,100.0,1450.0,NR,Transfer Facility
