  Year,Region 1 ,Region 2 ,Region 3 ,Region 4 ,Region 5 ,Region 6 ,Region 7 ,Region 8 
2020 ,Transfer & Landfill ,Transfer & Landfill ,Landfill only ,Landfill only ,Landfill only ,Landfill only ,Landfill only ,Transfer & Landfill 
2019 ,Transfer & Landfill ,Transfer & Landfill ,Landfill only ,Landfill only ,Landfill only ,- ,- ,Transfer only 
